Date,Open,High,Low,Close,Volume
28-Apr-17,166.28,166.55,164.68,165.21,3045003
27-Apr-17,167.65,167.81,165.50,166.55,4290201
26-Apr-17,167.50,168.95,167.25,167.63,4084301
25-Apr-17,166.92,167.96,166.60,167.53,4268529
24-Apr-17,165.70,165.99,164.40,165.78,4135474
21-Apr-17,164.40,164.95,163.34,163.41,5122410
20-Apr-17,163.29,165.24,163.04,164.98,3729159
19-Apr-17,164.10,164.49,162.28,162.76,3932873
18-Apr-17,163.87,164.23,163.09,163.69,2985842
17-Apr-17,163.61,164.63,162.67,164.35,3414133
13-Apr-17,164.98,165.28,162.87,162.90,3655089
12-Apr-17,165.07,165.48,164.66,165.11,3419655
11-Apr-17,165.80,166.22,164.85,165.70,3488171
10-Apr-17,166.20,167.00,165.98,166.35,3015946
7-Apr-17,165.62,166.89,165.48,166.17,2594128
6-Apr-17,165.64,167.00,165.02,166.47,3892319
5-Apr-17,167.45,168.23,165.67,165.83,5231101
4-Apr-17,166.61,167.00,166.14,166.86,2853044
3-Apr-17,166.72,167.00,165.32,166.87,3986871
31-Mar-17,167.41,167.60,166.34,166.68,3564732
30-Mar-17,166.30,167.69,166.00,167.36,3393679
29-Mar-17,168.00,168.30,166.44,166.59,4776445
28-Mar-17,167.28,168.61,166.36,168.31,4598039
27-Mar-17,166.89,167.51,165.80,167.44,4884740
24-Mar-17,170.45,170.45,168.02,168.66,4131882
23-Mar-17,169.66,171.36,169.21,169.89,3142944
22-Mar-17,169.27,170.04,168.02,169.30,3257041
21-Mar-17,172.16,172.44,169.03,169.47,4973857
20-Mar-17,172.30,172.87,171.60,172.07,3340655
17-Mar-17,173.89,173.89,172.32,172.82,6710690
16-Mar-17,175.15,175.43,173.70,174.08,3119576
15-Mar-17,174.98,175.08,173.77,174.67,3928488
14-Mar-17,175.22,175.43,174.23,174.73,2972477
13-Mar-17,175.29,175.60,174.69,175.39,3333468
10-Mar-17,176.00,176.14,174.45,174.98,3789669
9-Mar-17,175.70,175.85,174.82,175.37,2955841
8-Mar-17,175.89,176.00,174.80,174.97,3334427
7-Mar-17,175.58,175.76,174.90,175.30,2645385
6-Mar-17,175.44,175.88,174.51,175.40,3379090
3-Mar-17,175.97,176.46,175.04,175.68,3572889
2-Mar-17,177.86,177.86,175.48,175.89,4154760
1-Mar-17,173.70,177.41,173.70,177.28,7137648
28-Feb-17,170.90,172.20,170.51,171.42,6464455
27-Feb-17,170.90,171.20,170.32,170.63,3738606
24-Feb-17,169.50,170.28,169.22,170.22,4023408
23-Feb-17,169.96,170.16,169.11,170.15,3377140
22-Feb-17,168.92,169.70,168.33,169.61,3299350
21-Feb-17,168.92,169.65,168.47,168.92,4416873
17-Feb-17,167.56,168.70,166.71,168.57,3716900
16-Feb-17,167.28,167.80,166.10,167.74,3152206
15-Feb-17,167.21,167.34,166.12,167.28,4349610
